id;teacher_first_name;teacher_last_name;teacher_email;teacher_password;teacher_created_by;teacher_creation_date;teacher_modified_by;teacher_modified_date
1;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Mouse Rupiah;2019-11-24;RSS Buckinghamshire Officer;2019-11-24
2;Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;2019-11-24;Licensed;2019-11-24
3;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;2019-11-23;Polarised navigate;2019-11-24
4;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;2019-11-24;Kentucky;2019-11-24
5;Incredible;Concrete National;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;2019-11-24;Connecticut empower;2019-11-24
6;Dynamic Home Loan Account;dot-com;methodology Integration Music;Pants;Avon;2019-11-24;Gorgeous;2019-11-24
7;Unbranded Fresh Car;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;2019-11-24;hard drive Mexico Gardens;2019-11-24
8;mint green Director system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;2019-11-24;Checking Account frictionless;2019-11-24
9;Bahamas;Manager open architecture;Gorgeous Metal Shoes;Investment Account;Investment Account cross-platform;2019-11-24;transmitting parse infrastructures;2019-11-23
10;Representative mint green streamline;synthesize Arizona synthesizing;synthesizing;indigo Bacon Mouse;Programmable payment National;2019-11-24;Maryland Tanzanian Shilling Lights;2019-11-24
